,x,X,n_trials,a_rew,a_pun,K,theta,omega_f,omega_p
0,"[3 1 0 1 1 2 2 2 0 1 1 3 3 3 3 0 3 1 1 1 1 0 0 0 3 0 2 3 2 3 0 0 3 2 2 0 0
 2 2 0 2 0 2 2 2 0 2 2 2 0 2 2 0 2 0 3 3 0 0 2 3 0 0 3 3 2 2 3 3 3 3 2 2 3
 3 2 2 2 3 3 3 3 2 0 3 2 2 3 2 2 2 3 2 2 0 2 2 3 0 2]","[  0.5    1.     1.     0.8    1.1    0.5    0.6   -0.1    1.2    1.2
   0.9    0.4    0.45   0.45   0.55  -0.7    0.6    1.     0.9    1.2
 -11.4    0.9   -1.9    1.     0.4   -1.2    0.55   0.55   0.05   0.5
   1.2   -1.4   -1.9    0.45   0.    -2.6    1.1    0.45   0.1   -2.2
  -0.1    0.9    0.55   0.3   -0.1   -1.5    0.45   0.45   0.4   -0.8
   0.25  -0.15   1.1    0.7   -2.1    0.55   0.4   -0.2   -1.3   -0.1
   0.6    1.    -1.3    0.4    0.45   0.6    0.4    0.55   0.65   0.7
   0.5    0.55   0.3   -2.05   0.6    0.15   0.1    0.55   0.55   0.65
   0.8    0.4    0.4   -1.6    0.8   -0.35   0.3    0.4    0.4    0.75
   0.3    0.65   0.35   0.45   1.1    0.65  -0.2   -2.45  -2.4    0.5 ]",100,0.7723430426386475,0.9742029480157104,0.45341476055415053,0.37973954277725264,0.14221586305482958,0.2682622063618806
1,"[2 1 2 0 0 1 0 0 2 3 2 1 2 2 1 0 1 0 2 1 0 3 2 1 0 0 0 0 2 1 0 3 2 0 0 0 0
 1 0 0 0 0 2 3 0 3 0 3 2 2 1 3 0 1 3 1 1 3 0 2 1 3 2 3 3 2 2 0 3 3 3 2 3 3
 3 3 2 3 3 3 0 2 2 2 2 0 0 0 2 2 0 3 0 2 2 0 3 2 2 2]","[  0.5    1.     0.6    1.     1.2    0.8   -0.7    0.9   -0.1    0.5
   0.55   1.1    0.05   0.45   1.2   -1.9    0.9    1.     0.     1.
  -1.2    0.4    0.45   0.9    1.2   -1.4   -2.6    1.1    0.1    1.2
  -2.2    0.45  -0.1    0.9   -1.5   -0.8    1.1  -11.4   -2.1   -0.2
  -1.3    1.     0.55   0.45  -1.3    0.55  -1.6    0.6    0.3   -0.1
   0.8    0.4    1.1    1.1    0.55   1.     0.9    0.5   -2.4    0.45
 -13.7   -1.9    0.45   0.55   0.4    0.4    0.25   1.     0.6    0.4
   0.45  -0.15   0.55   0.65   0.7    0.5    0.7   -2.05   0.6    0.55
  -0.8   -0.1    0.6    0.4    0.55  -1.2   -0.4   -1.1    0.3    0.15
   1.2    0.65  -2.2    0.1    0.55  -0.8    0.8    0.4   -0.35   0.3 ]",100,0.8538051827913502,0.518707014878511,0.8884002918730205,0.2338182041736847,0.47965530278706225,0.6558086992667623
2,"[0 0 2 2 0 2 3 3 3 1 1 3 2 1 0 3 0 3 1 1 1 1 3 2 2 1 0 0 1 3 3 2 0 2 3 2 0
 2 2 2 0 2 2 3 3 2 3 3 3 0 2 2 2 0 2 2 2 2 2 3 3 3 3 3 2 3 2 2 3 2 3 2 3 2
 2 3 3 2 3 3 3 2 3 2 2 2 2 2 2 3 3 2 3 3 2 3 0 2 2 2]","[  1.     1.2    0.5    0.6   -0.7   -0.1    0.5    0.4    0.45   1.
   0.8    0.45   0.55   1.1    0.9    0.55  -1.9    0.6    1.2    0.9
   1.     0.9    0.4    0.05   0.45   1.2    1.    -1.2  -11.4    0.55
   0.5    0.     1.2    0.45  -1.9    0.1   -1.4   -0.1    0.55   0.3
  -2.6   -0.1    0.45   0.55   0.4    0.45   0.6    0.4    0.45   1.1
   0.4    0.25  -0.15  -2.2    0.7   -0.1    0.6    0.4    0.55   0.55
   0.65   0.7    0.5   -2.05   0.3    0.6    0.15   0.1    0.55   0.55
   0.65   0.4    0.8   -0.35   0.3    0.4    0.8    0.4    0.4    0.65
  -2.45   0.75   0.6    0.3    0.35   0.45   0.65  -0.2    0.5    0.65
   0.75  -0.05   0.6    0.65   0.1   -2.5    0.9    0.45   0.8    0.35]",100,0.03153136832421377,0.1122839721449268,4.19016805193636,4.313223638906276,0.33274357266688115,0.10851882363607013
3,"[2 2 1 2 1 1 1 1 1 1 1 1 0 0 0 0 0 2 2 0 0 3 3 2 2 3 3 3 3 3 3 3 3 2 2 3 3
 3 3 3 2 3 0 0 3 3 3 2 3 2 2 0 2 2 2 2 2 2 2 2 2 2 2 3 2 2 3 3 3 3 3 3 3 2
 2 3 2 2 2 2 2 2 2 3 3 3 3 3 2 3 2 2 2 2 2 2 2 2 2 2]","[  0.5    0.6    1.    -0.1    0.8    1.1    1.2    0.9    1.     0.9
   1.2  -11.4    1.     1.2   -0.7    0.9   -1.9    0.55   0.05   1.
  -1.2    0.5    0.4    0.45   0.     0.45   0.45   0.55   0.6    0.4
   0.55   0.5   -1.9    0.45   0.1    0.55   0.4    0.6    0.4    0.45
  -0.1    0.55   1.2   -1.4    0.65   0.7    0.5    0.55  -2.05   0.3
  -0.1   -2.6    0.45   0.45   0.4    0.25  -0.15   0.7   -0.1    0.6
   0.4    0.55   0.3    0.6    0.15   0.1    0.55   0.65   0.8    0.4
   0.8    0.4    0.65   0.55   0.4   -2.45  -0.35   0.3    0.4    0.75
   0.3    0.35   0.45   0.6    0.65   0.75   0.6    0.65   0.65  -2.5
  -0.2    0.5   -0.05   0.1    0.45   0.8    0.35   0.4    0.5    0.45]",100,0.9580757366272995,0.3748447744019682,3.920164363112412,3.329634203022276,0.15438601865899837,0.24205737621792134
4,"[3 3 3 3 3 3 3 3 3 3 0 0 0 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 2 2 2 2 2
 2 2 2 2 2 0 0 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 3 3]","[  0.5    0.4    0.45   0.45   0.55   0.6    0.4    0.55   0.5   -1.9
   1.     1.2   -0.7    0.5    0.6   -0.1    0.55   0.05   0.45   0.
   0.45   0.1   -0.1    1.     0.8    1.1    1.2    0.9    1.     0.9
   1.2  -11.4    0.55   0.3   -0.1    0.45   0.45   0.4    0.25  -0.15
   0.7   -0.1    0.9   -1.9    0.6    0.4    0.55   0.3    0.15   0.1
   0.55   0.4   -0.35   0.55   0.4    0.6    0.4    0.45   0.55   0.65
   0.7    0.5   -2.05   0.3    0.4    0.75   0.3    0.35   0.45   0.65
  -0.2    0.5   -0.05   0.1    0.45   0.8    0.35   0.4    0.5    0.45
  -0.15   0.55   0.     0.15   0.5    0.6    0.4    0.45   0.55   0.5
  -0.1    0.6    0.05   0.2    1.    -1.2    1.2   -1.4    0.6    0.55]",100,0.9706713158624685,0.7458527094245774,3.2325836837642488,3.166527587897891,0.9827441715322555,0.8737659370583625
5,"[1 1 0 0 1 0 0 2 2 1 1 1 2 2 3 3 0 3 3 2 3 3 1 1 1 3 2 3 3 3 0 0 2 3 3 3 2
 2 3 2 3 3 3 3 3 2 2 2 3 2 2 0 2 3 0 2 2 3 2 2 2 0 3 2 3 3 2 2 3 0 0 2 2 3
 3 2 2 2 3 0 3 3 0 3 3 2 3 2 3 2 2 2 3 3 3 0 2 3 2 3]","[  1.     0.8    1.     1.2    1.1   -0.7    0.9    0.5    0.6    1.2
   0.9    1.    -0.1    0.55   0.5    0.4   -1.9    0.45   0.45   0.05
   0.55   0.6    0.9    1.2  -11.4    0.4    0.45   0.55   0.5   -1.9
   1.    -1.2    0.     0.55   0.4    0.6    0.45   0.1    0.4   -0.1
   0.45   0.55   0.65   0.7    0.5    0.55   0.3   -0.1   -2.05   0.45
   0.45   1.2    0.4    0.6   -1.4    0.25  -0.15   0.55   0.7   -0.1
   0.6   -2.6    0.65   0.4    0.8    0.4    0.55   0.3    0.8    1.1
  -2.2    0.15   0.1    0.4    0.65   0.55   0.4   -0.35  -2.45   0.9
   0.6    0.65  -1.5    0.75   0.6    0.3    0.65   0.4   -2.5    0.75
   0.3    0.35   0.85   0.45   0.55  -0.8    0.45   0.7    0.65   0.55]",100,0.7411915885728162,0.5889769043207215,4.55508842940493,1.047458892034105,0.11397985420866286,0.3082337453698041
6,"[2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 3 3 3 3 3 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 2 3 3 3 2 3 3 3 3 3 3 3 3 3 3 3]","[  0.5    0.6   -0.1    0.55   0.05   0.45   0.     0.45   1.     0.8
   1.1    1.2    0.9    1.     0.9    1.2  -11.4    0.1   -0.1    0.55
   0.3   -0.1    0.45   0.45   0.4    0.25  -0.15   0.5    0.4    0.45
   0.45   0.55   0.6    0.4    0.55   0.5   -1.9    0.55   0.4    0.6
   0.4    0.45   0.55   0.65   0.7    0.5   -2.05   0.8    1.1    1.
   0.9  -13.7    0.6    0.55   0.65   0.8    0.4    0.7   -0.1    0.6
   0.4    0.55   0.3    0.8    0.4    0.65  -2.45   0.6    0.65   0.75
   0.6    0.65  -2.5    0.85   0.45   0.55   0.7    0.55   0.7    0.8
   0.65   0.7   -2.7    0.9    0.15   0.5    0.6    0.75   0.1    0.6
   0.75   0.85   0.7    0.75   0.85   0.95   0.55  -3.1    0.8    0.65]",100,0.9572308157975873,0.12681070214124845,4.278194651740035,3.7321605842078105,0.7807299462136987,0.6293208295549384
7,"[0 2 0 2 1 1 0 2 1 3 1 1 2 3 3 0 1 3 3 0 2 1 1 1 2 2 0 2 2 3 3 0 2 2 0 3 3
 3 3 0 0 2 2 2 3 3 3 3 3 3 3 3 3 2 3 3 3 2 2 3 2 2 3 2 3 3 3 3 2 2 2 2 2 2
 2 2 2 0 0 2 2 2 2 2 0 0 0 2 2 2 2 2 2 2 0 0 2 3 2 3]","[  1.     0.5    1.2    0.6    1.     0.8   -0.7   -0.1    1.1    0.5
   1.2    0.9    0.55   0.4    0.45   0.9    1.     0.45   0.55  -1.9
   0.05   0.9    1.2  -11.4    0.45   0.     1.     0.45   0.1    0.6
   0.4   -1.2   -0.1    0.55   1.2    0.55   0.5   -1.9    0.55  -1.4
  -2.6    0.3   -0.1    0.45   0.4    0.6    0.4    0.45   0.55   0.65
   0.7    0.5   -2.05   0.45   0.6    0.55   0.65   0.4    0.25   0.8
  -0.15   0.7    0.4   -0.1    0.8    0.4    0.65  -2.45   0.6    0.4
   0.55   0.3    0.15   0.1    0.55   0.4   -0.35   1.1   -2.2    0.3
   0.4    0.75   0.3    0.35   0.9   -1.5   -0.8    0.45   0.65  -0.2
   0.5   -0.05   0.1    0.45   1.1   -2.1    0.8    0.6    0.35   0.65]",100,0.5900663584402971,0.4609602134067824,2.8396696915496067,1.146653337753854,0.10032179129710239,0.20606012369943394
8,"[0 0 0 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 0 0 0 0 0 3]","[  1.     1.2   -0.7    1.     0.8    1.1    1.2    0.9    1.     0.9
   1.2  -11.4    0.5    0.4    0.45   0.45   0.55   0.6    0.4    0.55
   0.5   -1.9    0.9   -1.9    0.5    0.6   -0.1    0.55   0.05   0.45
   0.     0.45   0.1   -0.1    0.55   0.3   -0.1    0.45   0.45   0.4
   0.25  -0.15   0.7   -0.1    0.6    0.4    0.55   0.3    0.15   0.1
   0.55   0.4   -0.35   0.3    0.4    0.75   0.3    0.35   0.45   0.65
  -0.2    0.5   -0.05   0.1    0.45   0.8    0.35   0.4    0.5    0.45
  -0.15   0.55   0.     0.15   0.5    0.6    0.4    0.45   0.55   0.5
  -0.1    0.6    0.05   0.2    0.55   0.4    0.6    0.4    0.45   0.55
   0.65   0.7    0.5   -2.05   1.    -1.2    1.2   -1.4   -2.6    0.6 ]",100,0.5236880666089379,0.8814698039572119,1.5983728281911018,3.1794064998601685,0.5770111033764251,0.31511749968376535
9,"[1 1 3 0 2 0 0 2 2 1 3 0 2 0 0 1 3 3 2 2 3 1 3 3 1 0 0 3 3 2 0 0 1 1 3 3 2
 2 0 0 2 1 0 2 0 0 1 0 2 1 0 1 1 1 1 2 3 1 2 2 3 0 0 3 0 0 2 1 0 2 2 0 2 0
 0 0 3 2 0 0 0 0 2 2 2 1 0 0 2 2 3 1 1 1 3 3 3 3 1 1]","[  1.     0.8    0.5    1.     0.5    1.2   -0.7    0.6   -0.1    1.1
   0.4    0.9    0.55  -1.9    1.     1.2    0.45   0.45   0.05   0.45
   0.55   0.9    0.6    0.4    1.    -1.2    1.2    0.55   0.5    0.
  -1.4   -2.6    0.9    1.2   -1.9    0.55   0.45   0.1    1.1   -2.2
  -0.1  -11.4    0.9    0.55  -1.5   -0.8    0.8    1.1    0.3    1.1
  -2.1    1.     0.9  -13.7    1.2   -0.1    0.4    1.3    0.45   0.45
   0.6   -0.2   -1.3    0.4    1.    -1.3    0.4    1.1   -1.6    0.25
  -0.15   1.1    0.7   -2.4    1.    -0.8    0.45  -0.1   -1.2   -0.4
  -1.1    1.2    0.6    0.4    0.55   0.9   -2.2   -0.8    0.3    0.15
   0.55   1.     1.2  -16.3    0.65   0.7    0.5   -2.05   1.1    1.4 ]",100,0.528176824197946,0.10192941498648456,4.201251835155194,0.07197385114242949,0.8641269028099643,0.6640288571315759
